sin,cos,year,month,TF,ZW,STE
0.0,1.0,200,1,0.2821817597984516,-0.04219560611774799,-0.4427728476638941
0.5,0.9,200,2,1.063967050837847,0.03493160589889878,-0.3703066210772338
0.9,0.5,200,3,-1.4263449105396169,-0.019952717082080674,-0.5302678298792186
1.0,0.0,200,4,-2.818830756039083,0.024141929937624283,-0.3703611215138991
0.9,-0.5,200,5,-3.665659093725045,-0.030753222895529845,-0.4571890437356282
0.5,-0.9,200,6,-3.60422807140073,-0.07934870351205202,-0.3232163854904472
0.0,-1.0,200,7,-4.944369472206926,-0.19414586737962297,-0.515137247607879
-0.5,-0.9,200,8,-5.674525280398158,-0.029969221143570122,-0.6512473977198702
-0.9,-0.5,200,9,-3.9167770046959056,-0.010450565107205727,-0.5094343212205099
-1.0,-0.0,200,10,-4.0713910814791685,-0.015571015538361682,-0.6029702101090983
-0.9,0.5,200,11,-3.687893112929869,-0.0033777396880807302,-0.4700332752452811
-0.5,0.9,200,12,-2.5567942590512813,-0.020209198554679494,-0.3785242700859824
0.0,1.0,201,1,-2.224816901608023,-0.10264774462593691,-0.3804740694627796
0.5,0.9,201,2,-3.659293746194733,-0.05941349992905009,-0.5654966214982349
0.9,0.5,201,3,-4.013428702992481,-0.037391587761811326,-0.4876081730624707
1.0,0.0,201,4,-4.931338583006414,-0.01736212411759869,-0.6224382727829536
0.9,-0.5,201,5,-4.69024498250433,-0.05368349864199524,-0.5214729130617397
0.5,-0.9,201,6,-3.52667175813968,-0.11994462057503023,-0.4956258900858377
0.0,-1.0,201,7,-2.9774037522692933,-0.16028029627166246,-0.442954505429241
-0.5,-0.9,201,8,-2.543221948053006,-0.04685699407530142,-0.3873203131649348
-0.9,-0.5,201,9,-2.532866166740524,-0.10254336434459388,-0.6001017261686734
-1.0,-0.0,201,10,-2.5978874446578786,-0.04416299016174756,-0.9790829848909214
-0.9,0.5,201,11,-0.39610782275472,-0.024121005826554492,-0.9800718887946042
-0.5,0.9,201,12,2.3933069897895924,-0.08189314794922167,-0.8763491205186162
0.0,1.0,202,1,5.849947224027474,0.04755269606012282,-0.5322246874378878
0.5,0.9,202,2,8.758273400393113,0.06061196539485588,-0.3581419889773447
0.9,0.5,202,3,8.657308603253073,0.029185177618449167,-0.4553785366664311
1.0,0.0,202,4,8.698049587605965,0.06541947969719217,-0.2214627161413576
0.9,-0.5,202,5,9.026394704630748,0.054643111259317034,-0.1234941731215437
0.5,-0.9,202,6,8.450972954016184,-0.04053489301422793,0.0647049293648687
0.0,-1.0,202,7,7.366172820437689,-0.06180826987712927,0.1447420036901198
-0.5,-0.9,202,8,6.078538614621337,-0.012724739384649802,0.1061045440602996
-0.9,-0.5,202,9,4.859740007237354,0.05721190602085049,0.0791852472139771
-1.0,-0.0,202,10,4.381667667175176,0.05004641255080444,0.0885623466214059
-0.9,0.5,202,11,3.0153702682289776,0.04501518750550688,0.1437489959675409
-0.5,0.9,202,12,1.6914462491780775,0.00916288252162546,0.0749493135602883
0.0,1.0,203,1,0.6523432464002621,0.0027430779081367416,0.0967086635638662
0.5,0.9,203,2,-1.981022200020712,-0.04391761143522246,-0.0916994095257458
0.9,0.5,203,3,-4.0954202231827415,0.01563555643808961,-0.1513061625394657
